timestamp(ms),RAW,
"1714597377.839","27",
"1714597377.843","27",
"1714597377.845","28",
"1714597377.847","27",
"1714597377.849","27",
"1714597377.853","27",
"1714597377.855","27",
"1714597377.857","27",
"1714597377.861","27",
"1714597377.863","27",
"1714597377.865","27",
"1714597377.867","27",
"1714597377.871","27",
"1714597377.873","27",
"1714597377.875","27",
"1714597377.881","28",
"1714597377.907","29",
"1714597377.908","29",
"1714597377.909","28",
"1714597377.911","29",
"1714597377.913","28",
"1714597377.917","28",
"1714597377.92","28",
"1714597377.921","28",
"1714597377.923","28",
"1714597377.927","28",
"1714597377.929","28",
"1714597377.931","28",
"1714597377.937","29",
"1714597377.939","29",
"1714597377.941","29",
"1714597377.946","29",
"1714597377.948","29",
"1714597377.949","29",
"1714597377.952","29",
"1714597377.955","29",
"1714597377.957","29",
"1714597377.959","29",
"1714597377.963","29",
"1714597377.965","29",
"1714597377.967","29",
"1714597377.969","29",
"1714597377.973","29",
"1714597377.975","28",
"1714597377.978","29",
"1714597377.98","28",
"1714597377.983","29",
"1714597377.984","28",
"1714597377.986","28",
"1714597377.988","28",
"1714597377.992","29",
"1714597377.994","29",
"1714597377.996","29",
"1714597377.998","29",
"1714597378.002","29",
"1714597378.004","29",
"1714597378.006","29",
"1714597378.008","29",
"1714597378.012","29",
"1714597378.014","29",
"1714597378.016","29",
"1714597378.019","29",
"1714597378.02","29",
"1714597378.022","29",
"1714597378.024","29",
"1714597378.026","29",
"1714597378.03","28",
"1714597378.032","29",
"1714597378.034","29",
"1714597378.036","29",
"1714597378.04","29",
"1714597378.042","29",
"1714597378.044","29",
"1714597378.048","29",
"1714597378.05","29",
"1714597378.052","29",
"1714597378.054","29",
"1714597378.058","29",
"1714597378.06","29",
"1714597378.062","29",
"1714597378.068","29",
"1714597378.069","29",
"1714597378.07","30",
"1714597378.072","29",
"1714597378.076","29",
"1714597378.078","30",
"1714597378.08","29",
"1714597378.082","29",
"1714597378.086","29",
"1714597378.088","29",
"1714597378.09","29",
"1714597378.096","29",
"1714597378.098","29",
"1714597378.1","29",
"1714597378.104","29",
"1714597378.106","29",
"1714597378.108","30",
"1714597378.11","30",
"1714597378.114","30",
"1714597378.115","30",
"1714597378.116","30",
"1714597378.118","30",
"1714597378.122","30",
"1714597378.124","30",
"1714597378.126","31",
"1714597378.128","31",
"1714597378.132","31",
"1714597378.134","31",
"1714597378.136","31",
"1714597378.138","31",
"1714597378.142","31",
"1714597378.144","31",
"1714597378.146","31",
"1714597378.15","31",
"1714597378.152","31",
"1714597378.155","30",
"1714597378.156","30",
"1714597378.16","30",
"1714597378.161","30",
"1714597378.162","30",
"1714597378.164","30",
"1714597378.167","31",
"1714597378.17","31",
"1714597378.171","31",
"1714597378.172","30",
"1714597378.174","31",
"1714597378.178","30",
"1714597378.179","31",
"1714597378.18","30",
"1714597378.182","31",
"1714597378.185","30",
"1714597378.188","30",
"1714597378.19","30",
"1714597378.193","30",
"1714597378.195","30",
"1714597378.199","30",
"1714597378.201","30",
"1714597378.203","30",
"1714597378.207","31",
"1714597378.209","30",
"1714597378.211","31",
"1714597378.213","30",
"1714597378.217","30",
"1714597378.219","30",
"1714597378.221","31",
"1714597378.227","31",
"1714597378.229","32",
"1714597378.231","31",
"1714597378.235","31",
"1714597378.237","32",
"1714597378.239","32",
"1714597378.241","32",
"1714597378.245","32",
"1714597378.247","32",
"1714597378.249","32",
"1714597378.255","32",
"1714597378.257","32",
"1714597378.259","32",
"1714597378.263","32",
"1714597378.265","32",
"1714597378.267","31",
"1714597378.269","32",
"1714597378.273","32",
"1714597378.275","31",
"1714597378.277","32",
"1714597378.281","32",
"1714597378.283","32",
"1714597378.285","32",
"1714597378.287","32",
"1714597378.291","32",
"1714597378.293","32",
"1714597378.295","32",
"1714597378.297","32",
"1714597378.301","32",
"1714597378.303","32",
"1714597378.305","32",
"1714597378.309","32",
"1714597378.31","32",
"1714597378.311","32",
"1714597378.313","31",
"1714597378.315","32",
"1714597378.319","32",
"1714597378.321","31",
"1714597378.323","32",
"1714597378.325","31",
"1714597378.329","32",
"1714597378.33","31",
"1714597378.331","31",
"1714597378.334","32",
"1714597378.337","32",
"1714597378.339","32",
"1714597378.341","32",
"1714597378.343","32",
"1714597378.347","32",
"1714597378.349","32",
"1714597378.351","32",
"1714597378.357","32",
"1714597378.36","32",
"1714597378.362","32",
"1714597378.366","32",
"1714597378.367","32",
"1714597378.369","32",
"1714597378.372","32",
"1714597378.375","32",
"1714597378.378","32",
"1714597378.38","32",
"1714597378.386","32",
"1714597378.388","31",
"1714597378.39","32",
"1714597378.394","32",
"1714597378.396","32",
"1714597378.398","32",
"1714597378.4","33",
"1714597378.404","33",
"1714597378.406","32",
"1714597378.408","32",
"1714597378.414","32",
"1714597378.416","32",
